title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4180,Dreaming Freedom,DRAMA,2L,THURSDAY,5,164669,9.62,3766309,377038,ONGOING,True,"Jeongmin is a loner in high school being bullied by the Queen Bee, Juhyeon. The two were friends in elementary school before their friendship ended because of Juhyeon’s demand that Jeongmin should only be friends with her. Juhyeon uses this “betrayal” to fuel the classmates' insults and isolate Jeongmin in misery. Jeongmin has only one way to escape, through lucid dreams. One day, a mysterious man enters her dreams and offers to help her get revenge on Juhyeon…"
4179,Long After the Ending,ROMANCE,"Dorae,Wonderdream",SATURDAY,19,205274,9.65,3083743,463348,ONGOING,False," Elena Taylor, the former villainess of a romance story, has decided to walk away from the main story and open a Romance Counselling business. As an independent woman trying to find her footing in society with her fledgling venture, she is given the hardest request she’s ever encountered: help the sub-lead of the main plot, Hugh Godwin, debut in High-Society and get married, or get kicked out of the building she lives and works out of! Elena soon realizes that she’s in trouble when she meets Hugh, a burly, muscular bear of a knight who’s been burned by love. Will Elena be able to convince Hugh to find romance and keep her business running?"
4178,Our Secret Alliance,ROMANCE,Cakenyam,SATURDAY,19,156075,9.56,1976891,230987,ONGOING,False,From childhood friends to lovers! Se-i Yun and Jaeha Kim are model high school students who form an alliance to escape the prying eyes of their strict parents. They used to be childhood friends until something caused them to drift apart. Will this fake alliance be able to bring them back together?
4177,Loser Coin,DRAMA,"Lee Je Hwan,Beomsik",SUNDAY,19,79049,8.34,1266254,102106,ONGOING,False,"He’s broke, lonely, and he’s a loser. With the betrayal by the only friend that he once thought he had, Uijin’s casual investment in cryptocurrency miraculously bears fruit, turning him into a millionaire in an instant. Thanks to the unexpected fortune, Uijin’s life somehow drastically changes for the better… or does it?"
4176,Limit Breaker,ACTION,"Oh,Hongsil,MiNo",SUNDAY,19,213767,9.25,4039269,357455,ONGOING,False,"Dungeons and monsters suddenly appear and the world falls into chaos. Gibong Kim, an ordinary young part-timer, has been sucked up into an awakening dimension for 3000 years to train his powers. When he makes his return to reality, he is a max-leveled player who only has one wish -- to reconcile with his loved ones. 10 years have passed in the real world during his absence. How will Gibong be able to find his place in the world with his new limit-breaking abilities?"
4175,Survival Log,ACTION,e_no,FRIDAY,19,49054,8.81,825384,79040,ONGOING,False,"Ssamsson, a streamer with 3 million subscribers, starts live streaming in a deserted island with five other streamers. To find catchier material, the group explores the island deeper and deeper and faces an old bunker. With curiosity and fear filling the air, the ATTACK has begun!"
4174,Killer Bang: The First Kill,ACTION,"doyeon kim,jinho bang",WEDNESDAY,20,32290,9.14,632543,42039,ONGOING,False,"Uigang Bang is an ordinary small business owner who leads an ordinary life… until unordinary things start to unfold in his life. His business partner suddenly disappears, leaving a notorious loan shark chasing after his company. His wife and their child-like dog survive an attempted murder by an impulsive killer only to live in fear of his second attack. Uigang faces the killer to end the matter, but things go south and now he faces two dead bodies instead. Just when he’s debating whether to turn himself in, he receives a life-changing offer -- do you want to become a hitman?"
4173,The Most Ordinary Girl,ROMANCE,Chogori,THURSDAY,19,132829,9.33,2020387,216585,ONGOING,False,"Have you ever wished you were special? Se-gye Lee certainly doesn’t! She wants nothing more than to be ordinary, but her extraordinary strength keeps landing her in hot water, like the time she accidentally knocked down the wall separating her home from her neighbor’s. Her good-looking neighbor, Juwon, is surprisingly nice about it, but he has secrets of his own. Then Yeong, who granted Se-gye her powers, comes back into her life. Se-gye asks him to make her normal again, but why does it seem like her life’s about to become much less ordinary?"
4169,Vixen: NYC,SUPER_HERO,"Jasmine Walls,Manou Azumi,Omar Vallejos,Hailey June,Toby Fan,BBM,Micah Myers,ITSURYUU",FRIDAY,16,107638,9.38,1145130,157207,ONGOING,False,"Before starting college, Mari Jiwe's relatives gift her an ancestral totem, once fabled to give its wearer the powers of the animal kingdom. Mari just chalks its 'magical powers' up to superstition. After arriving in New York City, though, she definitely notices something strange about her new home. Especially the animals. While Mari battles staying awake in class and feral subway rats, dark plans emerge from the corners of the vast metropolis. Girls who look just like her start going missing and Mari can't shake the feeling that she's next. As for the totem? Turns out that the 'magical powers' are actually a thing, and Mari is next up to wield them. Freshman year is gonna be a doozy."
4161,Write to Your Heart! ,DRAMA,vaguni,WEDNESDAY,19,70396,9.13,1056678,125963,ONGOING,False,"Dohui has horrible handwriting – except she doesn’t! She just hasn’t overcome her complex about the unique way she holds a pencil… not yet, anyway. When team leader Chanyeol Jeong takes interest in Dohui’s handwriting, she joins his project and they begin a professional partnership. As she begins working with Chanyeol, will Dohui be able to overcome her insecurity? And could their business relationship develop into something more?"
